check_item,value,status,notes
local_archive_path,/root/v12.2.2024_dft_3d_307k.zip,recorded,local path recorded but file is not committed
file_size_bytes,549019,pass,zip file size recorded
archive_sha256,ccc5c71e44e0213f8f5261a5e1df43df03129a4ec661a31c7a880cbf48b4e7b5,pass,archive checksum recorded
zip_integrity,true,pass,zipfile.is_zipfile true
internal_file_list,"v12.2.2024_dft_3d_307k/; v12.2.2024_dft_3d_307k/best_model.pt; v12.2.2024_dft_3d_307k/config.json; v12.2.2024_dft_3d_307k/history_train.json; v12.2.2024_dft_3d_307k/history_val.json",pass,internal zip listing recorded
best_model_sha256,f47f3d231605d58c21538ee5a3d1fe5c7f7711d9cd31deb6964965e23f84b269,pass,extracted file checksum recorded
config_sha256,ac194348870c6d584ab95da25c2e51b27856625326398de7d6dfe825295164cf,pass,extracted file checksum recorded
config_version,af3ae5d1c5711ef9cad6cf930de78f30e6627382,recorded,internal config version field
model_folder_name,v12.2.2024_dft_3d_307k,recorded,alignn-ff checkpoint identity
python_version,3.12.4,recorded,software environment
alignn_version,2026.4.2,recorded,software environment
jarvis_version,2026.4.2,recorded,software environment
torch_version,2.8.0+cu128,recorded,software environment
dgl_version,2.1.0,recorded,software environment
device_used,cpu,recorded,DGL CUDA API unavailable despite torch CUDA availability
si_smoke,energy_per_atom=-3.9753658771514893; max_abs_force=2.3259781301021576e-07,pass,explicit local path smoke test passed
matched_structure_smoke,wbm-1-10155 energy_per_atom=-2.2446320056915283,pass,explicit local path smoke test passed
acquisition_source,manual/local archive supplied by user,fail_pending_public_provenance,not yet public/citable/reproducible enough
official_figshare_download,tested but HTTP 403,fail,current environment cannot retrieve official zip
atomgptlab_documentation,lists v12.2.2024_dft_3d_307k and explicit local path usage,partial_support,documentation supports model identity and usage but not archive provenance
route_b_primary_eligibility,not eligible yet,fail,requires public archive/citable source or frozen public predictions before primary claim
