claim_id,claim_scope,quantity,value,unit,denominator,source_file,selector,source_column,interpretation,lock_status
A1_MPHYS_SUPPORT,abstract,five_physical_endpoint_common_support_n,36650,rows,frozen matched compound candidates,outputs/referee_revision_v3/evaluation/physical_support_flow.csv,"stage == ""Mphys fixed physical evaluation support""",n,Common support is formed only after rankings and coordinates are frozen.,locked_to_unique_machine_readable_source
A2_NATIVE_SWITCH_T0_MINIMUM,abstract,minimum_native_pair_switch_rate_at_0_meV,0.1049399489158197,fraction,"D2 native full support (n=36,802)",outputs/referee_revision_v3/evaluation/endpoint_threshold_scan.csv,"support == ""D2_native_full"" and threshold_meV_per_atom == 0",switch_rate,Range across the three native-coordinate source pairs.,locked_to_unique_machine_readable_source
A2_NATIVE_SWITCH_T0_MAXIMUM,abstract,maximum_native_pair_switch_rate_at_0_meV,0.1539590239660888,fraction,"D2 native full support (n=36,802)",outputs/referee_revision_v3/evaluation/endpoint_threshold_scan.csv,"support == ""D2_native_full"" and threshold_meV_per_atom == 0",switch_rate,Range across the three native-coordinate source pairs.,locked_to_unique_machine_readable_source
A2_NATIVE_SWITCH_T50_MINIMUM,abstract,minimum_native_pair_switch_rate_at_50_meV,0.065105157328406,fraction,"D2 native full support (n=36,802)",outputs/referee_revision_v3/evaluation/endpoint_threshold_scan.csv,"support == ""D2_native_full"" and threshold_meV_per_atom == 50",switch_rate,Range across the three native-coordinate source pairs.,locked_to_unique_machine_readable_source
A2_NATIVE_SWITCH_T50_MAXIMUM,abstract,maximum_native_pair_switch_rate_at_50_meV,0.0894244877995761,fraction,"D2 native full support (n=36,802)",outputs/referee_revision_v3/evaluation/endpoint_threshold_scan.csv,"support == ""D2_native_full"" and threshold_meV_per_atom == 50",switch_rate,Range across the three native-coordinate source pairs.,locked_to_unique_machine_readable_source
A3_ROBUST_CONFLICT_COUNT,abstract,robust_conflict_n,512,rows,"36,770 reconstructable rows",outputs/referee_revision_v3/evaluation/indeterminate_zone_conflicts.csv,"support == ""D2_reconstructable"" and indeterminate_width_meV_per_atom == 50 and endpoint_a == ""mp_source_coordinate"" and endpoint_b == ""alex_pbe_source_coordinate""",robust_conflict_n,Definite stable-versus-definite unstable MP--Alexandria-PBE conflict.,locked_to_unique_machine_readable_source
A3_ROBUST_CONFLICT_FULL_RATE,abstract,robust_conflict_rate_full_support,0.0139243948871362,fraction,"36,770 reconstructable rows",outputs/referee_revision_v3/evaluation/indeterminate_zone_conflicts.csv,"support == ""D2_reconstructable"" and indeterminate_width_meV_per_atom == 50 and endpoint_a == ""mp_source_coordinate"" and endpoint_b == ""alex_pbe_source_coordinate""",robust_conflict_rate_full_support,Definite stable-versus-definite unstable MP--Alexandria-PBE conflict.,locked_to_unique_machine_readable_source
A3_ROBUST_CONFLICT_DECISIVE_RATE,abstract,robust_conflict_rate_decisive_support,0.0292487860611253,fraction,decisive rows only,outputs/referee_revision_v3/evaluation/indeterminate_zone_conflicts.csv,"support == ""D2_reconstructable"" and indeterminate_width_meV_per_atom == 50 and endpoint_a == ""mp_source_coordinate"" and endpoint_b == ""alex_pbe_source_coordinate""",robust_conflict_rate_decisive_support,Definite stable-versus-definite unstable MP--Alexandria-PBE conflict.,locked_to_unique_machine_readable_source
A4_GLOBAL_MACE_WINNER_MIN_FREQUENCY,abstract,minimum_MACE_MP_bootstrap_winner_frequency_across_global_metrics_and_endpoints,1.0,fraction,15 endpoint-metric combinations,outputs/referee_revision_v3/bootstrap/model_winner_frequencies_cluster_bootstrap.csv,"threshold_meV_per_atom == 0 and metric in {""auroc"",""ap"",""normalized_ap""} and model_name == ""MACE-MP""",winner_frequency,Chemical-system bootstrap conditional on fixed predictions and pools.,locked_to_unique_machine_readable_source
A5_TOP1000_POINT_WINNER_SET,abstract,point_winner_models_across_endpoints,"[""CHGNet"", ""M3GNet"", ""MACE-MP""]",model names,five physical endpoints,outputs/referee_revision_v3/evaluation/budget_sensitivity_audit.csv,threshold_meV_per_atom == 0 and K == 1000 and point_winner == True,model_name,Point-estimate winners vary across endpoints; this is not a probability claim.,locked_to_unique_machine_readable_source
