denominator,model_name,label_view,n,positive_rate,label_semantics,metric_status,f1,precision,recall,balanced_accuracy,auroc,auprc
D5_full_complete,ALIGNN-FF,mp_native,36769,0.40865946857407054,stability,ok,0.35032610142419807,0.35032610142419807,0.35032610142419807,0.45067700922748327,0.4633158203470023,0.3801416610243876
D5_full_complete,ALIGNN-FF,alexmp20_native,36769,0.36150017677935214,stability,ok,0.3108636773999398,0.3108636773999398,0.3108636773999398,0.4603472878629805,0.4707274794056062,0.3351240909283344
D5_full_complete,ALIGNN-FF,alex_pbe_native,36769,0.33090375044194836,stability,ok,0.29177282814169475,0.29177282814169475,0.29177282814169475,0.47075837569998324,0.48272191321508673,0.31276013854400475
D5_full_complete,ALIGNN-FF,common_pool,31872,0.5172565261044176,stability,ok,0.48337983743782603,0.48337983743782603,0.48337983743782603,0.46491232870201454,0.47764713928991565,0.4963726286121347
D5_full_complete,ALIGNN-FF,source_union,0,,stability,not_evaluable_full_source_union_incomplete,,,,,,
D5_full_complete,ALIGNN-FF,consensus,24614,0.3854310554968717,stability,ok,0.32981975334668495,0.32981975334668495,0.32981975334668495,0.4547558474540657,0.4725325785828121,0.3600787647691679
D5_full_complete,ALIGNN-FF,uncertain,36769,0.3305773885610161,uncertainty_indicator,uncertainty_indicator_not_primary_stability_metric,0.3081036610448375,0.3081036610448375,0.3081036610448375,0.4832140958998462,0.47722301859426114,0.3173117638568035
D5_full_complete,ALIGNN-FF,audit_view,36769,0.2580162637003998,stability,ok,0.2254664277432276,0.2254664277432276,0.2254664277432276,0.47806566750404544,0.4884532302128903,0.24592435303931948
D5_full_complete,CHGNet,mp_native,36769,0.40865946857407054,stability,ok,0.36137361906029547,0.36137361906029547,0.36137361906029547,0.46001808856247994,0.46634214197055146,0.3861317019669205
D5_full_complete,CHGNet,alexmp20_native,36769,0.36150017677935214,stability,ok,0.31801083358411075,0.31801083358411075,0.31801083358411075,0.46594412275959807,0.4764583398038541,0.3424282375925994
D5_full_complete,CHGNet,alex_pbe_native,36769,0.33090375044194836,stability,ok,0.2889783841538588,0.2889783841538588,0.2889783841538588,0.4686701529744174,0.4812437461275092,0.3147807771766593
