model_name,score_panel,n_scores,original_score_field,original_score_direction,standardized_score_field,standardization_transform,standardized_direction,score_min,score_max,transformation_check_passed,guardrail
ALIGNN-FF,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-4.249387105305989,9.940689086914062,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
CHGNet,sourceaware_d2,36801,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,0.2632239758968353,14.045214653015137,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
M3GNet,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,0.1646189332008361,12.926719665527344,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
MACE-MP,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,0.278567099571228,14.059874534606934,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
MP_common_pool_public_hull_rank,sourceaware_d2,36770,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-3.793629302222222,4.3076653355456086e-14,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
MP_source_native_public_hull_rank,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-3.793629302222221,-0.0,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
MatterGen_alex_mp20_source_native_public_hull_rank,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-0.0999976199999999,-0.0,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
consensus_oracle_proxy,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-0.24999999989219734,1.0000009998594197,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
official_Alexandria_PBE_common_pool_public_hull_rank,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-1.1852403999999996,3.333333e-09,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
official_Alexandria_PBE_source_native_public_hull_rank,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,-2.815972,-0.0,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
prevalence_dummy,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,0.0,0.0,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
random_baseline,sourceaware_d2,36802,score,varies_or_not_reported,score_standardized,identity_or_prestandardized_public_safe_score,higher_score_more_likely_stable,1.9694505397183164e-05,0.9999432305970046,True,Score direction standardization affects ranking only; labels remain source-aware benchmark diagnostics.
ALIGNN-FF,external_wbm_native_context_only,256963,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-4.5433,4.8039,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
CGCNN,external_wbm_native_context_only,256961,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-2.85171,4.447450000000001,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
CGCNN+P,external_wbm_native_context_only,256961,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-2.2295,4.4586,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
MEGNet,external_wbm_native_context_only,256963,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-2.8681,4.8179,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
MEGNet-RS2RE,external_wbm_native_context_only,256953,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-2.6892,4.8529,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
Voronoi RF,external_wbm_native_context_only,257469,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-1.4826,4.447,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
eSEN-30M-MP,external_wbm_native_context_only,256963,score_original,lower_predicted_formation_energy_more_stable,score_standardized,score_standardized = -score_original,higher_score_more_likely_stable,-2.9048,4.4823,True,External WBM scores are standardized for WBM-native context only and are not SourceAware label-view evidence without exact row mapping.
